review,review_date,review_star
"Overall, this laptop stand does the job, but there’s definitely room for improvement. The hinges are a bit too loose, which affects the stability but after placing laptop  it doesn't slips out of position. 

The rubber tape is  attached but not good  as advertised . I think it will be gonna deatached out soon

If the hinges were tighter, this would easily be a 5-star product.",23 Apr 2025,4.0
moh lae ramraii lagyo packing neh ramraii xw ani saman neh,4 weeks ago,5.0
Product is good and functions nice. Rubber attached in laptop holding area and surface area keep laptop still and stagnant. Satisfied 😊,11 Feb 2024,4.0
quality 105% best lageyo ani finishing pani dhirahi ramro xa mero laptop Acer swift go 14b OLED Model ko ma stand aali hight vayo jasle garda pura lod hinch ma parna gayo 14 inch ko laptop ko lagi aali thik lagen 14 inch vanda mathi ko laptop ko lagi yekdam best 👌  hunxa mero bichar ma maile tw return garnu vanda yeslai modify garerw use garne soch gare,12 Feb 2024,5.0
"Well it works well . It's really good for gaming and studying . The main catch is it is the best for space management. Just to flex, I'm Elden lord 🥰",12 Aug 2025,5.0
"Overall, this laptop stand does the job, but there’s definitely room for improvement. The hinges are a bit too loose, which affects the stability but after placing laptop  it doesn't slips out of position. 

The rubber tape is  attached but not good  as advertised . I think it will be gonna deatached out soon

If the hinges were tighter, this would easily be a 5-star product.",23 Apr 2025,4.0
moh lae ramraii lagyo packing neh ramraii xw ani saman neh,4 weeks ago,5.0
Product is good and functions nice. Rubber attached in laptop holding area and surface area keep laptop still and stagnant. Satisfied 😊,11 Feb 2024,4.0
quality 105% best lageyo ani finishing pani dhirahi ramro xa mero laptop Acer swift go 14b OLED Model ko ma stand aali hight vayo jasle garda pura lod hinch ma parna gayo 14 inch ko laptop ko lagi aali thik lagen 14 inch vanda mathi ko laptop ko lagi yekdam best 👌  hunxa mero bichar ma maile tw return garnu vanda yeslai modify garerw use garne soch gare,12 Feb 2024,5.0
"Well it works well . It's really good for gaming and studying . The main catch is it is the best for space management. Just to flex, I'm Elden lord 🥰",12 Aug 2025,5.0
"Well it works well . It's really good for gaming and studying . The main catch is it is the best for space management. Just to flex, I'm Elden lord 🥰 ",12 Aug 2025,5.0
Wonder full laptop stand it is fully made of metal which is durable for years . Recommended from my side you should purchase it ,20 Apr 2025,4.0
"it's really really nice product ,i like it, good material,fast delivery, affordable price , thank you 💐💐 ",12 Jun 2025,5.0
The product is exact as shown in the picture. Delivery was also very quick. It is a good product and is ergonomic as well.  ,27 Mar 2025,4.0
"My laptop is 14 inch, and it fits well but rubber sticker was placed at wrong place at the bottom due to which it was slippery. I placed it at the right place and it is steady now. Anyway good product. ",21 Mar 2025,5.0
loved this one... is same as shown and works well... thank you daraz and seller... happy with the purchase. ,08 Jun 2025,5.0
"This product exceeded my expectations with its quality, reliability, and ease of use. Excellent value for money, highly recommend it to anyone seeking durability, efficiency, and satisfaction in daily use ",08 Sep 2025,5.0
"it is better than expected 
has good weight and looks durable 
has good rubber paddings 
best at this price  ",02 Feb 2025,5.0
The Quality Is Nice But One Stand Is Small So I Gave 4 star Otherwise You Can Adjust And use it is Very Good❤️ ,12 Apr 2025,4.0
"I ordered 2 of them.
1. One of them has this weird patch on it.
2. Both of them are uneven. ",31 Mar 2025,4.0
good product price aunsar but height lock garni niskeko niskai huniraicha but worth it ! ,02 Apr 2025,5.0
The stand is good at first I thought it was lose but when i put my laptop it seem strudy ,09 Oct 2025,5.0
excellent products and same as shown in the picture and thanks for this product daraz ,23 Jan 2025,5.0
"product is good...at this price..
price worthy...thank you daraz for this product.. ",15 Nov 2025,5.0
Ramro xa. Saman chai ali aaza heavy vaye stable hunthyo hola but overall Thikai xa ,3 weeks ago,4.0
"Ok quality, quite uneven footings and unstable until you put yr laptop ",04 Aug 2025,4.0
It’s been 2 years and I’m still using it. That means it is durable.  ,30 Apr 2025,5.0
"No problem with it so far..
The product is sturdy and seems of good quality
I'd recommend it.",13 Oct 2023,4.0
Nice one 😃😃😃 also fast delivery ko lagi dhanyabad 🙏🙏🙏 ,26 Jun 2025,5.0
if extra some  features are added then it would be best. ,27 Jan 2025,5.0
it was awesome as expected thanks.for the good service  ,14 Jun 2025,5.0
perfect....can buy it....majale support garxa laptop  ,09 Jun 2025,5.0
"Just received, Great product
Best value for money ",24 Apr 2025,5.0
Very good product and packaging. I recommend it. ,09 Mar 2025,5.0
it's fine. you can buy it without hesitation. ,14 Jun 2025,5.0
nice easy to use and helps to reduce overheat ,17 Oct 2025,5.0
Nice very nice nicest good very good goodest ,11 Apr 2025,5.0
Quite good as per price . And stable too .  ,22 Jul 2025,5.0
"Pokhara ma 1000 vanetiyo sasto mae payo
 ",06 Mar 2025,5.0
"Nice product. Perfectly worked as expected 👍️
Satisfied with the product and service 😀",04 Jul 2024,5.0
"does it's job, what more can you say ",20 Aug 2025,5.0
It was good product. Thanks seller. ,23 May 2025,5.0
"its amazing,real product and away from my imagination😍 ",14 Aug 2024,5.0
"It is perfect as it was shown in the picture. Works well with my Lenovo LOQ 15.6 inches. It is sturdy and doesn't wobble. With the rubber grips, it can hold up to 17 inches laptops or laptops with a weight of 3 kg easily. I'm impressed with this product....I definitely recommend it😁👍✨",30 May 2024,5.0
decent and sturdyyyyyyyyyyyyyyyy ,17 Jun 2025,5.0
Price anusaar ko thikai chha.  ,25 Sep 2025,5.0
Great value for money ,22 Sep 2025,5.0
it's working well  ,20 Apr 2025,5.0
I wasn't expecting it to be as effective as it really is. The stand seems durable enough and can firmly hold my heavy laptop. The portability is a cherry on top and it even comes with a small bag. Overall a great product. Value for price 👌,05 May 2024,5.0
good product  ,14 Feb 2025,4.0
nice ,01 May 2025,5.0
thikai lagho jehos yo price range ma ramro xa😊,08 Feb 2024,4.0
Just the way I envisioned it to be and that makes me really happy.,03 Jan 2024,5.0
I expected the product to be little stronger as it is made of aluminium but its weak anyway its good product for lightweight laptops. The fan was also working properly . ,1 week ago,3.0
It is fine but i saw some visible rust marks behind the stand one arm is slightly loose but it is working fine ,22 Oct 2025,3.0
typ stand lai jodni chai plastic ko raixa so testo rameo vamdina aru no doubt sab ramro xa just tyo full metal vaye ko vaye ekdam ramro ,22 Aug 2025,3.0
best quality ,11 Aug 2024,5.0
Well! i got this stand. And in good condition. Packaging is so good. hope it will last long. 😊 But i think it is expensive. ,04 Apr 2023,4.0
 Ekdam ramro stand Dherai strong raixa mero 16 inch ko laptoplai muzzle vyo.bokera hidnu pni sajilo raixa.Seller dherai helpful ani responsible hunuhunxa.recommend to all buyers.,06 Oct 2021,5.0
it's very strong and good quality material stand.i am really happy.mero 16 inch ko laptop ko lagi muzzle fit vyo.yo price ma yeti ramro product provide garnu vayeko ma Thank you Daraz.fully satisfied😃😃,14 Mar 2022,5.0
"it is quite strong product to hold heavyweight laptop too.. seems durable as it is made of aluminium. 
the product was well packed when received,but could be better if a case bag to carry the stand along while carrying along laptop. ",15 Nov 2021,4.0
price ko hisab lea ramro ho Lida hunxa malai xai dami nai lago loved it 🥰,26 May 2023,5.0
nice product although a little bit tilting problem ,10 Jun 2025,3.0
"Build quality is quite good but lowest configuration ma stable nahudo raxa baki configuration ma ramro xa
ani rakhne pouch pani ramro xa",14 Dec 2021,5.0
one of the support pin is SHORTER than the other and because of this there is a slight gap between the base and laptop on one side(last pic) while there is no gap on another side.,11 Oct 2022,2.0
It was so preety good and very usefulI.I got 7 adjustable level.As shown in the picture as expected.THANK YOU DARAZ Seller aswell.I Recommended.,23 Sep 2021,5.0
"It's pretty much okayish for the price but at times it slips off.
",28 Feb 2024,4.0
"This stand fit okay for my 16 inch Dell laptop, although it felt a bit small. For smaller laptop it fits perfectly. The build of the stand is also good and made of metal, and seems a good value for the price. Delivery was also really quick.",24 Dec 2023,4.0
Works perfectly. 👌,30 Apr 2024,5.0
it's the best on its price segment. it holds my 15.6 inch laptop perfectly and strongly recommend 😄,06 Nov 2023,5.0
"About Product :
The product is good. Its made up of aluminium. Ali ali shake vaye pani its not that bad. Sticky grips harule garda table ma stable hunxa. Mero 14"" ko laptop majale rakhna mileko xa. Socheko vanda chai stand ko size ali sanai lagyo but its very useful for what it does.

About Seller:
Seller ni ekdam ramro ho. Suru ma maile stand order garda aadha samma matra khulne partially defective jasto thiyo rw bag ni ako thena but after talking with seller for few times he exchanged it. I will buy from him again.  ",29 Sep 2021,4.0
"Very very flimsy. The left side of the stand is weaker than the right side. Other than that, it does the job fine. You get what you pay for I guess.",22 Jun 2022,2.0
Very useful product for laptop.same as shown the picture.full body aluminium material.I like and Love it.Tq Daraz I recommend.😄😄😄,29 Sep 2021,5.0
"Really impressed by the quality, strength and the usefullness of the product. Certainly would recommend anyone who knows its function. So, just go for it, the product is superb👍",15 Aug 2022,5.0
"The product is identical to what is shown in the description. It is indeed a high quality product, the packaging was also good.I will definitely recommend it.",06 Nov 2023,5.0
Wow really Amazing product.Whole body aluminum and looks preety Thank you DARAZ Seller aswell🤗🤗🤗,02 Sep 2021,5.0
loved he product.Daro pani raixa,20 Apr 2023,5.0
It's a good one for this price range.,26 May 2023,5.0
Nice product. It is sturdy.,19 Sep 2023,5.0
very good product.                                          #review_wrapup,11 Dec 2023,4.0
"Eakdam ramro stand raixa. Quality ni babbal raixa
I highly recommend to buy this product",23 Feb 2022,5.0
Another satisfied customer 🙌,03 Jun 2023,5.0
"Packaging was very good and delivery was on time. Product is solid and sturdy. Could have been a little bit more expandable for larger laptops. But, overall it's a good product in my opinion.",06 Oct 2023,4.0
Ramrai chha ,22 Oct 2024,3.0
"The packaging was great, but not convinced with the product itself, which is slightly lose on the left side. Don’t feel safe enough. Would really appreciate an exchange if possible.",28 Mar 2024,3.0
Definitely not worth your money! It came with multiple scratches and seems to be used! The whole stand is bent to one side and will not still stable when the laptop is placed. very weak and bad build quality.,06 Dec 2021,1.0
"its Really Amazing Stand Built With Full Aluminum.All Daraz Customers Who Want This Product Plz Without Any Doubt Buy it.This Product 7 level Adjustment level And Looking So Preety.I Am Really Happy With This Product.SELLER Was Very Helpful And Responsible.Thank you DARAZ And Good Seller.I Recommend To All Of You.
",13 Sep 2021,5.0
