review,scrapped_date
"Only 65 rupees 🥰fast delivery 🥰
eauta video ta sunya but sab apps ma chalxha ki k 
call haru garera sound check garnu baki xha & Kati KO long lasting xha Vanni ma var parxha🙂",2026-02-05 20:25:22.621252
"Perfectly working condition. Sound is as much as its low price could provide. Quality also feels same. If I can get 3 months of life, i will win on this purchase..",2026-02-05 20:25:22.630575
I got defective peice of the earphones it isn't working properly ❌ I need to return it,2026-02-05 20:25:22.638777
good product 💯,2026-02-05 20:25:22.646769
"Nice as expected 🫶 
Sound quality 🫶
Loved it z😍",2026-02-05 20:25:22.675629
Thikthikai xa  ,2026-02-05 20:25:24.819954
decent quality ,2026-02-05 20:25:24.826818
worth it !!  ,2026-02-05 20:25:24.834018
babal layo 💗💯💯,2026-02-05 20:25:24.837795
it was okay but Mike was not working perfectly as I can see bent in the wire ,2026-02-05 20:25:24.841761
Thikthikai xa  ,2026-02-05 20:25:24.946607
decent quality ,2026-02-05 20:25:24.951313
worth it !!  ,2026-02-05 20:25:24.954973
babal layo 💗💯💯,2026-02-05 20:25:24.958523
it was okay but Mike was not working perfectly as I can see bent in the wire ,2026-02-05 20:25:24.961165
Thikthikai xa  ,2026-02-05 20:25:25.037888
decent quality ,2026-02-05 20:25:25.041180
worth it !!  ,2026-02-05 20:25:25.043849
babal layo 💗💯💯,2026-02-05 20:25:25.047057
it was okay but Mike was not working perfectly as I can see bent in the wire ,2026-02-05 20:25:25.053254
good sound quality but the volume + - doesnt work i dont what's it for but overall as per the price it is nice. ,2026-02-05 20:25:25.164616
"Sound quality is so good, I love this. But it only have volume button and don't have turn off/on option. overall it is very good.",2026-02-05 20:25:25.167964
khai aru ko ta thah bhayena mero chai dmage parechha. Huna sakchha bhane firta linu hos.,2026-02-05 20:25:25.171957
I love it 😁.the sound quality is grate. We  can also keep this like the picture..,2026-02-05 20:25:25.182242
Working well and packaging was done properly. ,2026-02-05 20:25:25.185326
good sound quality but the volume + - doesnt work i dont what's it for but overall as per the price it is nice. ,2026-02-05 20:25:25.269662
"Sound quality is so good, I love this. But it only have volume button and don't have turn off/on option. overall it is very good.",2026-02-05 20:25:25.272813
khai aru ko ta thah bhayena mero chai dmage parechha. Huna sakchha bhane firta linu hos.,2026-02-05 20:25:25.276330
I love it 😁.the sound quality is grate. We  can also keep this like the picture..,2026-02-05 20:25:25.282917
Working well and packaging was done properly. ,2026-02-05 20:25:25.285559
Excellent  Same As What I Order  ,2026-02-05 20:25:25.381919
nice product. at this price its best choice,2026-02-05 20:25:25.384362
price anusar ko quality xa😊go for it guyz ,2026-02-05 20:25:25.387207
ramro xa . sound pani mazza ko. ,2026-02-05 20:25:25.391743
Was good according to price  ,2026-02-05 20:25:25.394966
Excellent  Same As What I Order  ,2026-02-05 20:25:25.518340
nice product. at this price its best choice,2026-02-05 20:25:25.523826
price anusar ko quality xa😊go for it guyz ,2026-02-05 20:25:25.526913
ramro xa . sound pani mazza ko. ,2026-02-05 20:25:25.529547
Was good according to price  ,2026-02-05 20:25:25.532252
Excellent  Same As What I Order  ,2026-02-05 20:25:25.617625
nice product. at this price its best choice,2026-02-05 20:25:25.620489
price anusar ko quality xa😊go for it guyz ,2026-02-05 20:25:25.625249
ramro xa . sound pani mazza ko. ,2026-02-05 20:25:25.631190
Was good according to price  ,2026-02-05 20:25:25.636839
Excellent  Same As What I Order  ,2026-02-05 20:25:25.715327
nice product. at this price its best choice,2026-02-05 20:25:25.717654
price anusar ko quality xa😊go for it guyz ,2026-02-05 20:25:25.720232
ramro xa . sound pani mazza ko. ,2026-02-05 20:25:25.724204
Was good according to price  ,2026-02-05 20:25:25.729314
Excellent  Same As What I Order  ,2026-02-05 20:25:25.795641
nice product. at this price its best choice,2026-02-05 20:25:25.798303
price anusar ko quality xa😊go for it guyz ,2026-02-05 20:25:25.800626
ramro xa . sound pani mazza ko. ,2026-02-05 20:25:25.803377
Was good according to price  ,2026-02-05 20:25:25.806921
low price but good quality  ,2026-02-05 20:25:25.922838
Price anusar saman  ekdam thik chha,2026-02-05 20:25:25.925434
Nice according to price  ,2026-02-05 20:25:25.928119
good quality product in this price ,2026-02-05 20:25:25.933486
एकदम राम्रो छ 😍😍😘 ,2026-02-05 20:25:25.937024
nice sound quality.  ,2026-02-05 20:25:26.035755
thik thikai xa 😪 ,2026-02-05 20:25:26.039486
it's very good airphone,2026-02-05 20:25:26.042646
product is good ,2026-02-05 20:25:26.045830
bad in quality  ,2026-02-05 20:25:26.048647
nice sound quality.  ,2026-02-05 20:25:26.133426
thik thikai xa 😪 ,2026-02-05 20:25:26.135999
it's very good airphone,2026-02-05 20:25:26.139451
product is good ,2026-02-05 20:25:26.142677
bad in quality  ,2026-02-05 20:25:26.149166
nice sound quality.  ,2026-02-05 20:25:26.232929
thik thikai xa 😪 ,2026-02-05 20:25:26.235847
it's very good airphone,2026-02-05 20:25:26.239234
product is good ,2026-02-05 20:25:26.245403
bad in quality  ,2026-02-05 20:25:26.248166
good value product 👍,2026-02-05 20:25:26.362215
No more. EXCLLENT 🤗,2026-02-05 20:25:26.364776
Good Quality  ,2026-02-05 20:25:26.367113
Very Nice product,2026-02-05 20:25:26.372343
satisfied.... 🙂,2026-02-05 20:25:26.377791
good value product 👍,2026-02-05 20:25:26.450681
No more. EXCLLENT 🤗,2026-02-05 20:25:26.453258
Good Quality  ,2026-02-05 20:25:26.458051
Very Nice product,2026-02-05 20:25:26.464177
satisfied.... 🙂,2026-02-05 20:25:26.466643
good value product 👍,2026-02-05 20:25:26.549637
No more. EXCLLENT 🤗,2026-02-05 20:25:26.552663
Good Quality  ,2026-02-05 20:25:26.557318
Very Nice product,2026-02-05 20:25:26.562885
satisfied.... 🙂,2026-02-05 20:25:26.565716
"very good
 ",2026-02-05 20:25:26.663894
works fine ,2026-02-05 20:25:26.666612
thanks  ,2026-02-05 20:25:26.669812
nice ,2026-02-05 20:25:26.674761
Not bad  ,2026-02-05 20:25:26.677770
"very good
 ",2026-02-05 20:25:26.792814
works fine ,2026-02-05 20:25:26.795281
thanks  ,2026-02-05 20:25:26.797901
nice ,2026-02-05 20:25:26.807281
Not bad  ,2026-02-05 20:25:26.809734
"very good
 ",2026-02-05 20:25:26.881723
works fine ,2026-02-05 20:25:26.885367
thanks  ,2026-02-05 20:25:26.890644
nice ,2026-02-05 20:25:26.896671
Not bad  ,2026-02-05 20:25:26.899401
❤️❤️❤️❤️ ,2026-02-05 20:25:26.976439
